===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-02 10:03:27
count workspace : c:\Users\Casper\Documents\Overbrawl.io git
total files : 228
total code lines : 66805
total comment lines : 3165
total blank lines : 15657

.travis.yml, code is 9, comment is 1, blank is 1.
Assembly-CSharp-Editor-firstpass.csproj, code is 201, comment is 0, blank is 1.
Assembly-CSharp-Editor.csproj, code is 192, comment is 0, blank is 1.
Assembly-CSharp-firstpass.csproj, code is 185, comment is 0, blank is 1.
Assembly-CSharp.csproj, code is 174, comment is 0, blank is 1.
Assets\_Scripts\Camera_Movement.cs, code is 19, comment is 1, blank is 6.
Assets\_Scripts\ClassSelection.cs, code is 54, comment is 2, blank is 8.
Assets\_Scripts\FixTransform.cs, code is 19, comment is 0, blank is 5.
Assets\_Scripts\Interface_Attack.cs, code is 7, comment is 0, blank is 1.
Assets\_Scripts\MineResource.cs, code is 57, comment is 1, blank is 15.
Assets\_Scripts\Projectile.cs, code is 44, comment is 1, blank is 7.
Assets\_Scripts\PS_Gunslinger\Gunslinger_Abilities.cs, code is 103, comment is 0, blank is 14.
Assets\_Scripts\PS_Gunslinger\SetupLocalPlayer_Gunslinger.cs, code is 49, comment is 3, blank is 7.
Assets\_Scripts\PS_Other\Health.cs, code is 63, comment is 1, blank is 14.
Assets\_Scripts\PS_Other\LevelHandler.cs, code is 111, comment is 4, blank is 20.
Assets\_Scripts\PS_Other\PlayerMovement.cs, code is 36, comment is 1, blank is 7.
Assets\_Scripts\PS_Other\Upgrades.cs, code is 402, comment is 30, blank is 33.
Assets\_Scripts\PS_Vanguard\SetupLocalPlayer_Vanguard.cs, code is 49, comment is 1, blank is 10.
Assets\_Scripts\PS_Vanguard\Sword.cs, code is 35, comment is 0, blank is 4.
Assets\_Scripts\PS_Vanguard\Vanguard_Abilities.cs, code is 87, comment is 0, blank is 17.
Assets\_Scripts\SpawnResources.cs, code is 31, comment is 0, blank is 7.
Assets\Animations\GunslingerDefaultGun.anim, it is a binary file.
Assets\Animations\GunslingerGunsController.controller, it is a binary file.
Assets\Animations\VanguardDefaultAttack.anim, it is a binary file.
Assets\Animations\VanguardSwordController.controller, it is a binary file.
Assets\Mesh Explosion\Demo\ClickOrTapToExplode.cs, code is 30, comment is 3, blank is 8.
Assets\Mesh Explosion\Demo\ReloadScene.cs, code is 34, comment is 1, blank is 7.
Assets\Mesh Explosion\Editor\MeshExploderEditor.cs, code is 121, comment is 0, blank is 16.
Assets\Mesh Explosion\Internal\DestroyAfterTime.cs, code is 9, comment is 0, blank is 5.
Assets\Mesh Explosion\Internal\DestroyOnFadeCompletion.cs, code is 6, comment is 0, blank is 3.
Assets\Mesh Explosion\Internal\Fade.cs, code is 107, comment is 2, blank is 29.
Assets\Mesh Explosion\Internal\MeshExplosion.cs, code is 117, comment is 7, blank is 31.
Assets\Mesh Explosion\MeshExploder.cs, code is 442, comment is 27, blank is 98.
Assets\Mesh Explosion\Read Me.txt, code is 17, comment is 0, blank is 15.
Assets\Standard Assets\Editor\ImageEffects\AntialiasingEditor.cs, code is 59, comment is 0, blank is 16.
Assets\Standard Assets\Editor\ImageEffects\BloomAndFlaresEditor.cs, code is 121, comment is 6, blank is 35.
Assets\Standard Assets\Editor\ImageEffects\BloomEditor.cs, code is 127, comment is 5, blank is 34.
Assets\Standard Assets\Editor\ImageEffects\CameraMotionBlurEditor.cs, code is 76, comment is 3, blank is 21.
Assets\Standard Assets\Editor\ImageEffects\ColorCorrectionCurvesEditor.cs, code is 87, comment is 2, blank is 35.
Assets\Standard Assets\Editor\ImageEffects\ColorCorrectionLookupEditor.cs, code is 68, comment is 6, blank is 16.
Assets\Standard Assets\Editor\ImageEffects\CreaseShadingEditor.cs, code is 47, comment is 0, blank is 13.
Assets\Standard Assets\Editor\ImageEffects\DepthOfFieldDeprecatedEditor.cs, code is 110, comment is 2, blank is 37.
Assets\Standard Assets\Editor\ImageEffects\DepthOfFieldEditor.cs, code is 123, comment is 0, blank is 38.
Assets\Standard Assets\Editor\ImageEffects\EdgeDetectionEditor.cs, code is 51, comment is 1, blank is 20.
Assets\Standard Assets\Editor\ImageEffects\NoiseAndGrainEditor.cs, code is 87, comment is 0, blank is 24.
Assets\Standard Assets\Editor\ImageEffects\SunShaftsEditor.cs, code is 67, comment is 10, blank is 28.
Assets\Standard Assets\Editor\ImageEffects\TonemappingEditor.cs, code is 68, comment is 2, blank is 15.
Assets\Standard Assets\Editor\ImageEffects\VignetteAndChromaticAberrationEditor.cs, code is 52, comment is 2, blank is 10.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Antialiasing.cs, code is 144, comment is 9, blank is 24.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Bloom.cs, code is 278, comment is 31, blank is 62.
Assets\Standard Assets\Effects\ImageEffects\Scripts\BloomAndFlares.cs, code is 232, comment is 20, blank is 68.
Assets\Standard Assets\Effects\ImageEffects\Scripts\BloomOptimized.cs, code is 81, comment is 3, blank is 25.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Blur.cs, code is 76, comment is 17, blank is 15.
Assets\Standard Assets\Effects\ImageEffects\Scripts\BlurOptimized.cs, code is 66, comment is 3, blank is 24.
Assets\Standard Assets\Effects\ImageEffects\Scripts\CameraMotionBlur.cs, code is 290, comment is 68, blank is 72.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ColorCorrectionCurves.cs, code is 139, comment is 1, blank is 42.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ColorCorrectionLookup.cs, code is 103, comment is 4, blank is 23.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ColorCorrectionRamp.cs, code is 14, comment is 1, blank is 2.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ContrastEnhance.cs, code is 58, comment is 3, blank is 19.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ContrastStretch.cs, code is 143, comment is 33, blank is 26.
Assets\Standard Assets\Effects\ImageEffects\Scripts\CreaseShading.cs, code is 65, comment is 0, blank is 17.
Assets\Standard Assets\Effects\ImageEffects\Scripts\DepthOfField.cs, code is 261, comment is 46, blank is 84.
Assets\Standard Assets\Effects\ImageEffects\Scripts\DepthOfFieldDeprecated.cs, code is 310, comment is 36, blank is 85.
Assets\Standard Assets\Effects\ImageEffects\Scripts\EdgeDetection.cs, code is 73, comment is 0, blank is 16.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Fisheye.cs, code is 37, comment is 1, blank is 9.
Assets\Standard Assets\Effects\ImageEffects\Scripts\GlobalFog.cs, code is 87, comment is 5, blank is 13.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Grayscale.cs, code is 17, comment is 1, blank is 3.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ImageEffectBase.cs, code is 41, comment is 5, blank is 9.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ImageEffects.cs, code is 33, comment is 1, blank is 8.
Assets\Standard Assets\Effects\ImageEffects\Scripts\MotionBlur.cs, code is 48, comment is 13, blank is 10.
Assets\Standard Assets\Effects\ImageEffects\Scripts\NoiseAndGrain.cs, code is 137, comment is 8, blank is 36.
Assets\Standard Assets\Effects\ImageEffects\Scripts\NoiseAndScratches.cs, code is 116, comment is 14, blank is 16.
Assets\Standard Assets\Effects\ImageEffects\Scripts\PostEffectsBase.cs, code is 204, comment is 7, blank is 51.
Assets\Standard Assets\Effects\ImageEffects\Scripts\PostEffectsHelper.cs, code is 149, comment is 15, blank is 28.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Quads.cs, code is 95, comment is 2, blank is 28.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ScreenOverlay.cs, code is 56, comment is 2, blank is 11.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ScreenSpaceAmbientObscurance.cs, code is 98, comment is 7, blank is 23.
Assets\Standard Assets\Effects\ImageEffects\Scripts\ScreenSpaceAmbientOcclusion.cs, code is 137, comment is 47, blank is 24.
Assets\Standard Assets\Effects\ImageEffects\Scripts\SepiaTone.cs, code is 14, comment is 1, blank is 1.
Assets\Standard Assets\Effects\ImageEffects\Scripts\SunShafts.cs, code is 109, comment is 9, blank is 34.
Assets\Standard Assets\Effects\ImageEffects\Scripts\TiltShift.cs, code is 60, comment is 0, blank is 16.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Tonemapping.cs, code is 216, comment is 18, blank is 43.
Assets\Standard Assets\Effects\ImageEffects\Scripts\Triangles.cs, code is 89, comment is 0, blank is 23.
